yhat,yhat_lower,yhat_upper,year
0.0,-1.2990563583939415e-09,1.1514346131453498e-09,1961
0.0,-1.311400761014871e-09,1.391375680333302e-09,1962
0.0,-1.3184600551863433e-09,1.2799839754408943e-09,1963
0.0,-1.2957591912612643e-09,1.2576041769941893e-09,1964
0.0,-1.3241340212472301e-09,1.2869295962713975e-09,1965
0.0,-1.2865804923645334e-09,1.28299298135876e-09,1966
0.0,-1.269864448215514e-09,1.3021473416855352e-09,1967
0.0,-1.354613483913134e-09,1.3685328303909454e-09,1968
0.0,-1.2863011353783884e-09,1.249582071947865e-09,1969
0.0,-1.2387549694972645e-09,1.2444741114657378e-09,1970
0.0,-1.2420485053985724e-09,1.3004994320434756e-09,1971
0.0,-1.314735828488741e-09,1.2928328254833515e-09,1972
0.0,-1.3033130536361287e-09,1.2569298089539833e-09,1973
0.0,-1.3119994134212886e-09,1.2879551382497382e-09,1974
0.0,-1.2786143799778928e-09,1.2442953342853957e-09,1975
0.0,-1.3177556034285553e-09,1.2650648064940304e-09,1976
0.0,-1.2711145375994488e-09,1.2703936656986838e-09,1977
0.0,-1.2306789351223289e-09,1.2637166546705074e-09,1978
0.0,-1.2560433172478446e-09,1.3298097657598608e-09,1979
0.0,-1.2148116059721853e-09,1.2949470362245258e-09,1980
0.0,-1.2633712379739002e-09,1.2105001569024818e-09,1981
0.0,-1.247150369129024e-09,1.3280902047712913e-09,1982
0.0,-1.3437253594046974e-09,1.3152863626039125e-09,1983
0.0,-1.2809291103977531e-09,1.2515160506296034e-09,1984
0.0,-1.2795050862079213e-09,1.2465904196865537e-09,1985
0.0,-1.2728820945771914e-09,1.323562743537335e-09,1986
0.0,-1.3008624962251856e-09,1.2820281960559871e-09,1987
0.0,-1.3138414930039605e-09,1.2937366974947194e-09,1988
0.0,-1.2349648091396868e-09,1.290159449318566e-09,1989
0.0,-1.2829281904826117e-09,1.3789909694633116e-09,1990
0.0,-1.2802254810531185e-09,1.2275753682750839e-09,1991
0.0,-1.2803258634087338e-09,1.3067235610706113e-09,1992
0.0,-1.2730808168100241e-09,1.2161894754535394e-09,1993
0.0,-1.3280018705067803e-09,1.3308769183424107e-09,1994
0.0,-1.2792628214585888e-09,1.2961915073931855e-09,1995
0.0,-1.2180571764114586e-09,1.2189725379889276e-09,1996
0.0,-1.2062648337162749e-09,1.2778012993511623e-09,1997
0.0,-1.2939684585224255e-09,1.324254095059479e-09,1998
0.0,-1.2576320341029946e-09,1.2735742129894768e-09,1999
0.0,-1.2526571598783524e-09,1.2838478518869561e-09,2000
0.0,-1.2863874250090923e-09,1.2977369477485171e-09,2001
0.0,-1.2189750600282786e-09,1.256526634010547e-09,2002
0.0,-1.2235734341735676e-09,1.3253868648506181e-09,2003
0.0,-1.2663271881406928e-09,1.274757231644007e-09,2004
0.0,-1.2287349912275905e-09,1.225551349758232e-09,2005
0.0,-1.1214226389292244e-09,1.2870647801676686e-09,2006
0.0,-1.2265175110407821e-09,1.3719881760944164e-09,2007
0.0,-1.293149961169434e-09,1.2935912333815675e-09,2008
0.0,-1.2946104965028591e-09,1.2745009740684443e-09,2009
0.0,-1.275831846440107e-09,1.2170644777190985e-09,2010
0.0,-1.231594572636168e-09,1.2696817118722467e-09,2011
0.0,-1.3503307376025105e-09,1.1891401518558047e-09,2012
0.0,-1.1913875811596302e-09,1.2984948317933976e-09,2013
0.0,-1.264566770671638e-09,1.2838742685993303e-09,2014
0.0,-1.3972520463702228e-09,1.3807922788681226e-09,2015
0.0,-1.4736506147378569e-09,1.4494779706853058e-09,2016
0.0,-1.611539317085559e-09,1.6250404678552417e-09,2017
0.0,-1.8622895509695265e-09,1.988123338998565e-09,2018
0.0,-2.0936729094011947e-09,2.216402093606869e-09,2019
0.0,-2.5184874378994834e-09,2.633596819856296e-09,2020
0.0,-3.0147101639855106e-09,3.2937531612500065e-09,2021
0.0,-3.546502494279721e-09,3.713467209212921e-09,2022
0.0,-3.933908369902806e-09,4.351810140842515e-09,2023
