yhat,yhat_lower,yhat_upper,year
0.0,-1.3053288313474582e-09,1.2262265371885919e-09,1992
0.0,-1.2457727987880867e-09,1.324592967944535e-09,1993
0.0,-1.3384950069158848e-09,1.245916854018582e-09,1994
0.0,-1.3707033178867369e-09,1.2612218241921575e-09,1995
0.0,-1.2695526046946346e-09,1.419988209145141e-09,1996
0.0,-1.275835584958005e-09,1.1869709279509823e-09,1997
0.0,-1.2034400777142058e-09,1.228641044842481e-09,1998
0.0,-1.2647935280651143e-09,1.253780832658792e-09,1999
0.0,-1.3338838631228793e-09,1.2143608401044042e-09,2000
0.0,-1.2587162856050113e-09,1.2214546564786332e-09,2001
0.0,-1.3933560568098345e-09,1.2499472834363735e-09,2002
0.0,-1.169938544125638e-09,1.2086038478210494e-09,2003
0.0,-1.2212863014873087e-09,1.3469808809933215e-09,2004
0.0,-1.2294074406003521e-09,1.2874673684324708e-09,2005
0.0,-1.318742348984889e-09,1.2061453349868466e-09,2006
0.0,-1.2704130322269524e-09,1.2547750530307293e-09,2007
0.0,-1.2943672337303164e-09,1.380027764584128e-09,2008
0.0,-1.2725786228962513e-09,1.3822866782166409e-09,2009
0.0,-1.2978415642428493e-09,1.3418101864710233e-09,2010
0.0,-1.2647176282597511e-09,1.2734257841123113e-09,2011
0.0,-1.242125964710202e-09,1.3258219342146008e-09,2012
0.0,-1.1766928055102306e-09,1.198022535888307e-09,2013
0.0,-1.3005523124012749e-09,1.2410456636656297e-09,2014
0.0,-1.6427428771901693e-09,1.5114672224458233e-09,2015
0.0,-2.401468053693001e-09,2.4228819244577356e-09,2016
0.0,-3.497578408192001e-09,3.1629991992892232e-09,2017
0.0,-4.700955965244533e-09,4.4400383904210825e-09,2018
0.0,-6.1731361997020575e-09,5.680251068832793e-09,2019
0.0,-7.799969878368306e-09,6.957965849529384e-09,2020
0.0,-9.519703963825344e-09,8.487080842818825e-09,2021
0.0,-1.1579820861232186e-08,1.0342353204657286e-08,2022
0.0,-1.3311599646621766e-08,1.2391648447715543e-08,2023
