iso3,protected_pct,forest_land_BiocapPerCap,delta_forest
ARE,15.9,0.066505548,-0.392418983
AUS,29.0,1.954944064,-2.6883132419999995
AUT,28.3,2.014664741,-0.3794182840000002
BEL,24.2,0.275633307,-0.05667776800000002
BEN,23.5,0.309530356,-2.381078196
BFA,15.8,0.231364491,-0.8427431609999999
BOL,25.3,13.50984094,-32.54169888
BRA,20.4,6.490059901,-13.525908489
BTN,48.0,4.245713972,-1.8963666760000004
CAF,18.1,6.504782177,-14.701677553
CHN,15.9,0.224600007,-0.227067748
COG,33.6,6.988249841,-24.457527159
COL,18.1,2.070103667,-5.047751804999999
CZE,21.8,1.317886423,-0.0439321399999999
DEU,38.5,0.688715355,-0.038101225000000016
DNK,20.5,0.33856948,-0.11197922200000004
ETH,18.5,0.044212207,-0.05240794
FRA,23.4,0.957672576,-0.04600172499999999
GIN,21.4,0.587522172,-1.7153525840000001
LAO,16.7,0.78218073,-2.116426698
LUX,34.9,0.827724564,-0.317934611
MWI,16.9,0.021363035,-0.092234341
NER,17.3,0.04543318,-0.37208385299999996
NIC,15.5,0.729382204,-6.253331876
NLD,18.0,0.078022887,-0.010798571000000007
NPL,23.5,0.058171204,-0.208797013
NZL,27.9,5.907512371,-4.362282298999999
PER,19.4,2.697459324,-5.9707669249999995
POL,29.3,0.75440923,-0.10674617399999997
SSD,15.5,0.33946147,-0.049048570000000014
SVK,36.8,1.838969546,-0.051283321000000104
SVN,54.1,1.85566008,-0.08825410899999997
TCD,18.6,0.35866436,-1.818155527
TGO,21.8,0.021969614,-0.30757437
TZA,26.0,0.151451269,-0.699532729
UGA,16.1,0.00989698,-0.106909776
VEN,36.9,1.719959815,-4.152379
ZMB,38.0,0.874518693,-3.300487885
ZWE,26.7,0.106247844,-0.5900344470000001
